,Ref,Cosine_Similarity,Cosine_Smiles,Euclidean Distance,Euclidean Smiles,Generate_scores,Generate,Random Scores,Random Generate
350,CN1[C@@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.46,O[C@H]1CN[C@@H]2CC[C@@H](CC(=O)NC3Cc4ccccc4C3)O[C@H]2COC1,0.38,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,0.8,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)CC1CC1)OCCCCC(C)O2,0.57,CN(CC(=O)N1CCCC1C(=O)O)Cc1ccc(Cl)cc1
352,CN1[C@@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.56,CN(C)CC(=O)Nc1ccc2O[C@H]3[C@H](C[C@@H](CC(=O)NCc4cc(F)ccc4F)O[C@H]3CO)c2c1,0.22,Clc1cncc(n1)N2CCNCC2,0.82,CCCNC(=O)CC1CCC2C(COc3ccc(NC(=O)c4ccc(C(F)(F)F)cc4)cc3C(=O)N2C)O1,0.36,CC1CN(C(C)CO)S(=O)(=O)c2ccc(NC(=O)C(C)(C)CCCCC(C)(C)C)cc2OC1CC(=O)N(C)C
353,CN1[C@@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.38,CC1(C)Oc2ccc(cc2[C@@H](OC2=CC(=O)CC2)[C@@H]1O)C#N,0.38,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,0.68,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2OC1CN(C)C(=O)CCC(F)(F)F,0.01,NC(COc1ccc2cc[nH]c2c1)C(=O)O
356,CN1[C@@H]2Cn3c(ccc(-c4cccc(F)c4)c3=O)[C@H]1[C@H]([C@@H]2CO)C(=O)Nc1nccs1,0.53,CO[C@H](CN(C)Cc1cc(F)ccc1F)[C@H](C)CN([C@H](C)CO)S(=O)(=O)c1ccc(Cl)cc1,0.26,COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O,0.0,CC(C)(C)CCC(=O)Nc1ccc(C(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(O)c2ccc(O)cc2)cc1,0.0,CCN1CC(=O)COC2OCC(CC(=O)NCC3CCCCC3)CC2C12CCOCC2
359,CN1[C@H]2CC[C@@H](CC(=O)N3CCc4ccccc4C3)O[C@@H]2COc2ccc(NS(=O)(=O)c3cccc(F)c3)cc2C1=O,0.37,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)C)OCc2cn(CCCC1=O)nn2,0.39,CCN(CC)CCOC(=O)c1ccc(N)cc1,0.8,CCNC(=O)CC1CCC2C(COc3ccc(NC(=O)c4cccc(F)c4)cc3C(=O)N2C)O1,0.49,C=O
360,CN1[C@H]2CC[C@@H](CC(=O)N3CCc4ccccc4C3)O[C@H]2COc2ccc(NS(=O)(=O)c3cccc(F)c3)cc2C1=O,0.63,CO[C@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3cccc(F)c3)ccc2OC[C@@H](C)N(C[C@H]1C)C(=O)Cc1cccnc1,0.3,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1,0.82,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(C)cc3)ccc2OCC1C,0.23,CC1CNCC(c2ccccc2OCCCN2CCCCC2)C1
364,CN1[C@H]2CC[C@@H](CC(=O)NCCCN3CCOCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.9,CN1[C@H]2CC[C@H](CC(=O)NCCc3ccncc3)O[C@H]2COc2ccc(NC(=O)Cc3cccs3)cc2C1=O,0.4,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0.79,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0.44,NCCN1CCN(C(C(O)c2c(F)cc(F)c(F)c2F)C(F)(F)F)CC1
366,CN1[C@H]2CC[C@@H](CC(=O)NCCCN3CCOCC3)O[C@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.84,COc1cccc(c1)C(=O)Nc1ccc2OC[C@H]3O[C@H](CC(=O)NCCCN4CCOCC4)CC[C@H]3N(C)C(=O)c2c1,0.57,Cc1ccccc1S(=O)(=O)N1C[C@@H](O)COC[C@H]2O[C@H](CC(=O)NCc3ccccc3Cl)CC[C@H]12,0.75,COc1ccc(NC(=O)N(C)CC2OCCCCC(C)Oc3ccc(NC(=O)CCCN(C)C)cc3C(=O)N(C(C)CO)CC2C)cc1,0.36,O=C(OC1CCN(CCCc2ccccc2)C1C(=O)O)c1cccc(F)c1
368,CN1[C@H]2CC[C@@H](CC(=O)NCc3ccc4OCOc4c3)O[C@@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.34,CCC(=O)C1(CC(C)(C)OC1=O)Sc1nc2ccccc2[nH]1,0.34,CCC(=O)C1(CC(C)(C)OC1=O)Sc1nc2ccccc2[nH]1,0.8,CCC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)CC(C)C)ccc2OCC1C,0.44,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)N
369,CN1[C@H]2CC[C@@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.5,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4ccc(NS(=O)(=O)C)cc4CC1=O,0.32,OC(COc1cccc2oc(cc(=O)c12)C(O)=O)COc1cccc2oc(cc(=O)c12)C(O)=O,0.8,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1cccc(F)c1)C(C)CO2,0.38,Cc1cccc(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNC(C)C)c1C
375,CN1[C@H]2CC[C@H](CC(=O)N3CCc4ccccc4C3)O[C@H]2COc2ccc(NS(=O)(=O)c3cccc(F)c3)cc2C1=O,0.83,COc1ccc(cc1)C(=O)Nc1ccc2OC[C@@H]3O[C@@H](CC(=O)NCC4CC4)CC[C@@H]3N(C)C(=O)c2c1,0.23,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.77,COc1ccccc1CNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3OC2C(CO)O1,0.43,Cc1ccc(C(F)(F)F)c(C(=O)O)c1NC(=O)NC1CN(C(C)CO)CC(C)C(=O)OC(NC(=O)c2ccc(C(F)(F)F)cc2)C1C
379,CN1[C@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.35,COC(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2CCC(F)(F)F)O1,0.58,COc1ccccc1CNC(=O)C[C@@H]2C[C@@H]3[C@@H](Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc34)[C@H](CO)O2,0.72,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C,0.56,NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O
381,CN1[C@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.3,Cc1cccc(Nc2ccccc2C(O)=O)c1C,0.3,Cc1cccc(Nc2ccccc2C(O)=O)c1C,0.68,CC1CCCCOC(CN(C)Cc2ccc(F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,0.2,COc1ccccc1CNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccccc4F)ccc3OC2C(CO)O1
382,CN1[C@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.59,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4c(cccc4C1=O)N(C)C,0.45,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.93,COC1CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OCC(C)N(C(=O)NC(C)C)CC1C,0.24,CNC(=O)c1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(C(=O)NCCC(=O)O)cc3)cc2)cc1
383,CN1[C@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.0,COc1ccc(NC(=O)Nc2cccc3C(=O)N(C[C@@H](C)[C@@H](CN(C)Cc4ccc5OCOc5c4)Oc23)[C@@H](C)CO)cc1,0.0,CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1,0.81,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)CC)C(C)CO2,0.53,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)C3CCCCC3)c2OC1CN(C)Cc1ccc(C(=O)O)cc1
386,CN1[C@H]2Cn3c(ccc(-c4cccc(F)c4)c3=O)[C@@H]1[C@@H]([C@H]2CO)C(=O)Nc1nccs1,0.37,COc1ccc(cc1OC)C(=O)Nc1sc2CCCCc2c1C(N)=O,0.33,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.0,Cc1ccccc1S(=O)(=O)N(C)CC1Oc2ccc(NC(=O)C3CCCCC3)cc2CC(=O)N(C(C)CO)CC1C,0.0,CC=Cc1ccccc1C(=O)NCCCCCCCC(=O)NC1c2ccccc2C(=O)C(=O)C1O
387,CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C,0.37,COc1ccc2CN(C)CCC34C=CC(O)CC4Oc1c23,0.34,CCN1CCCC1CNC(=O)c1cc(c(N)cc1OC)S(=O)(=O)CC,0.0,CN(C)C(=O)CC1CCC(NC(=O)Nc2cc(F)ccc2F)C(CO)O1,0.0,CNCC1OCCCCC(C)Oc2ccc(NC(=O)CCNC(C)C)cc2C(=O)N(C(C)CO)CC1C
392,CNCC(O)c1ccc(O)c(OC)c1,0.1,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,0.68,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.47,CC(C)(C)C1COCc2cn(nn2)CCC(Cc2ccc(O)cc2)C(=O)N1,0.33,CCOc1ccccc1-c1cnn2c(Nc3cccc(Cl)c3)c(C(=O)NCCC(C)C)cnc12
393,CNCC(O)c1ccc(O)cc1,0.0,CCOC(=O)c1ccc(N)cc1,0.0,CCN1CCCC1CNC(=O)c1cc(c(N)cc1OC)S(=O)(=O)CC,0.53,CC(NC(=O)CC1CCC(NC(=O)CC2CC2)C(CO)O1)c1ccccc1,0.44,CCCCC(O)Cn1cc(C(O)CCNC(=O)CCNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(F)cc2)NC(=O)C(Cc2ccccc2)NC=O)nn1
395,CNCCCN1c2ccccc2CCc2ccccc12,0.04,Cl[Co]Cl,0.18,CCCOc1ccc(cc1N)C(=O)OCCN(CC)CC,0.51,CC(C)NCCOc1ccc(C(C)(C)C)cc1C(C)(C)C,0.4,Cc1ccc(NC(=O)CC2C=C(C(=O)Nc3ccc(C(C)(C)C)cc3)CC(CO)O2)cc1
397,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSc1ccccc1,0.31,CN1CCc2cc(Br)c(O)cc2C(C1)c1ccccc1,0.37,CCN(CC)CCOC(=O)c1ccc(N)cc1,0.27,CC(C)(C)S(=O)N1CC(O)COCC2OC(CC(=O)NCc3ccc(-c4ccccc4)cc3)CCC21,0.11,Fc1c(F)c(F)c(C(F)(F)F)c(CN2CCN(CC3C=CCCC3)CC2)c1F
401,COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.36,COc1ccccc1-c1cc2nc(cc(N3CCN(CC3)C(=O)c3ccco3)n2n1)-c1ccccc1,0.35,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.61,CC1CN(C(C)CO)C(=O)Cc2cc(N(C)C)ccc2OC1CN(C)S(=O)(=O)c1ccc(Cl)cc1,0.41,Cc1c(C)c(C)c(S(=O)(=O)Nc2cccc3c2C(C)N(C(C)CO)C(C)CC(=O)OCC(C)CCCO3)c([N+](=O)[O-])c1C
402,COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.48,COc1ccc(C#Cc2ccc3c(O[C@H](CN(C)C(=O)CN4CCOCC4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2)cc1,0.3,CCC1(C(=O)NCNC1=O)c1ccccc1,0.63,CCCCNC(=O)CC1C=CC(NC(=O)c2ccccn2)C(CO)O1,0.56,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNc1ccccc1
404,COC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.83,CN1[C@@H]2CC[C@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.34,C[C@@H]1CN(CC[C@]1(C(O)=O)c1ccccc1)[C@H]1CC[C@](CC1)(C#N)c1ccc(F)cc1,0.72,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.48,Cc1cc(C(=O)NCCCCCNCC(O)c2c(O)c(O)c(O)c(O)c2CO)c(C)c(C(=O)O)c1NC(=O)CCCCCN(C)C
405,COC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.58,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.31,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C=O,0.6,CCCNC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C,0.25,O=C(NCCCN1CCOCC1)C1C(CO)C2Cn3c(ccc(C4=CCCC4)c3=O)C1N2CC1CCCCC1
407,COC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.45,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccc(c2)C(=O)O)OCc3ccccc3-c4ccccc4C1=O,0.27,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,0.73,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)OCCCCC(C)O2,0.48,Cc1c(C)c(C)c(NC(=O)CCN)c(C)c1C
408,COC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.52,OC[C@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F,0.29,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.6,CC1CCCCOC(CN(C)Cc2cccc(C(F)(F)F)c2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2O1,0.42,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)C(=O)CCN(C)C
409,COC(=O)C[C@@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.81,CN1[C@H]2CC[C@@H](CC(=O)NCC3CCCCC3)O[C@H]2COc2ccc(NC(=O)c3cccc(F)c3)cc2C1=O,0.12,CCCC(CCC)C(O)=O,0.62,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)S(=O)(=O)c1ccc(Cl)cc1)OCCCCC(C)O2,0.54,Cc1c(C)c(O)c(C)c(NC(=O)c2ccc(O)c(C(O)CN)c2O)c1C
410,COC(=O)C[C@@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.83,CN1[C@@H]2CC[C@@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.26,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,0.61,CC(C)COc1ccc(C(=O)NC2CC3=CC(=O)CCC3(C)CC2C)cc1,0.37,CCCNC(=O)CC1CCC2c3cccc(NS(=O)(=O)c4ccccc4F)c3OC2(CO)O1
412,COC(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.83,CN1[C@@H]2CC[C@@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.47,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2F)Oc3ncc(cc3C1=O)C4=CCCC4,0.72,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.39,COc1ccc(CNC(=O)CC2CCC(NC(=O)c3ccccc3F)C(CO)O2)cc1
413,COC(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.49,C[C@@H](NC(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2C(=O)Nc2cccc(Cl)c2)O1)c1ccccc1,0.33,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.92,CCN(CC)C(=O)CC1CCC2C(COc3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3C(=O)N2C)O1,0.55,COC1CN(C)C(CN(C)C)CCOc2cccc(NC(=O)c3cc(C)on3)c2NC(C)C1=O
415,COC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.53,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O,0.22,CC(=O)N=c1sc(nn1C)S(N)(=O)=O,0.69,COc1ccc(NC(=O)Nc2ccc(CCNC(=O)CCCCCCCC(=O)Nc3ccc(C(=O)Nc4ccccc4C(=O)NCCCN4CCN(Cc5ccccc5)CC4)cc3)cc2)cc1,0.61,O=C(CC1OC(CO)CCC1NC(=O)CCN1CCOCC1)NCc1ccc(-c2ccccc2)cc1
416,COC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.91,CN(C)c1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)O)O[C@H]3CO)c2c1,0.37,Clc1ccccc1CN1CCc2sccc2C1,0.64,Cc1ccc(S(=O)(=O)N(C)CC2OCCCCC(C)Oc3ccc(NC(=O)CCCN(C)C)cc3C(=O)N(C(C)CO)CC2C)cc1,0.48,CCCNC(=O)Nc1cccc2c1OCC(CN(C)C)N(C)C(CN(C)C)C(C)C(C)C(=O)N(C(C)CO)C2CN(C)C
424,COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.49,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccn2)Oc3ncc(C#CC4(O)CCCC4)cc3C1=O,0.13,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.67,Cc1ccc(S(=O)(=O)NCCCN2CCN(Cc3cccc(F)c3)CC2)cc1,0.42,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)C2CC(CO)OC(CC(=O)N4CCN(C)CC4)C2O3)cc1OC
425,COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.49,OC[C@@H]1O[C@H](CC(=O)NCCN2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)c5ccc6OCOc6c5)cc34,0.47,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2F)Oc3ncc(cc3C1=O)C4=CCCC4,0.68,CCCCNC(=O)CC1CCC(NC(=O)c2ccccc2F)C(CO)O1,0.38,COc1ccc(C(=O)NCCC2C=CC(NC(=O)Cc3ccncc3)C(CO)O2)cc1
427,COC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.47,C/C=C/c1ccc2c(O[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.35,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.72,CC1CCCCOC(CN(C)Cc2cccc(C(F)(F)F)c2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O1,0.48,CN(C)CCCC(=O)Nc1ccc(C(=O)c2ccco2)cc1
428,COC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.34,COc1cccc(NC(=O)N2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(cc2)-c2ccncc2)c1,0.33,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.66,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O1,0.47,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3F)ccc2O1
430,COC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.45,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4,0.62,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,0.7,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1,0.34,COC1CN(C)CC(=O)COc2cccc(NS(C)(=O)=O)c2N(C)C(C)C1C
431,COC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.43,COc1ccccc1NC(=O)N1[C@H](CO)[C@H]([C@H]1C#N)c1ccccc1,0.39,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.58,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)NC3CCCCC3)ccc2O1,0.57,Cc1cccc(C(=O)c2ccc(CCNC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc3ccc(C(=O)c4cccc(F)c4)cc3)NC(=O)CCC(C)C(C)(C)C)cc2)c1
432,COC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.59,COC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)NC4CCCC4)cc23)[C@H](CO)O1,0.46,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.62,CC(C)NC(=O)Nc1ccc2c(c1)OC(CN(C)Cc1ccc(C(F)(F)F)cc1)C(C)CN(C(C)CO)S2(=O)=O,0.21,CNCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C
433,COC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.55,Cc1ccccc1S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)NCc3ccccc3Cl)CC[C@@H]12,0.37,[O-][N+](=O)c1ccc(cc1)-c1ccc(C=NN2CC(=O)NC2=O)o1,0.71,COc1ccc(CNC(=O)CC2CCC3C(COCC(O)CN3S(=O)(=O)c3ccc(C)cc3)O2)cc1,0.43,COC1OCC(C)N(C(=O)NC(C)(C)C)CC(C)c2cc(NC(=O)c3ccncc3)ccc2N(C)CC1=O
435,COC(=O)C[C@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.49,COc1ccccc1NC(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)N3CCC(Cc4ccccc4)CC3)CC[C@H]12,0.24,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.65,COC1CN(C)C(=O)c2cc(NC(=O)C3CC3)ccc2OCC(C)N(Cc2ccccc2F)CC1C,0.17,COc1cc(C(C)C)c(OC)c(CNC(=O)CC2CCC3c4cccc(NS(=O)(=O)c5cccc(F)c5)c4OC3(CO)O2)c1OC
437,COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.72,OC[C@H]1O[C@H](CC(=O)NCc2ccc(Oc3ccccc3)cc2)C[C@@H]4[C@H]1Oc5ccc(NC(=O)c6ccc7OCOc7c6)cc45,0.49,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.76,Cc1ccccc1S(=O)(=O)Nc1ccc2c(c1)C(=O)N(C)C1CCC(CC(=O)NCc3ccccc3F)OC1CO2,0.44,CNCC1CC(C)N(C(C)CO)C(=O)C(C)COCC(=O)c2cccc(NC(=O)CCCN(C)C)c2CO1
