,Ref,Cosine_Similarity,Cosine_Smiles,Euclidean Distance,Euclidean Smiles,Generate_scores,Generate,Random Scores,Random Generate
367,CN1[C@H]2CC[C@@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.19,O[C@H]1CN[C@@H]2CC[C@@H](CC(=O)NC3Cc4ccccc4C3)O[C@H]2COC1,0.17,OC[C@@H]1O[C@@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F,0.2,CC(NC(=O)CC1CC2c3cc(NC(=O)CN(C)C)ccc3OC2C(CO)O1)c1ccccc1,0.1,Cc1ccc(C(=O)NCCCN(C)C)cc1
372,CN1[C@H]2CC[C@H](CC(=O)N3CCc4ccccc4C3)O[C@H]2COc2ccc(NS(=O)(=O)c3cccc(F)c3)cc2C1=O,0.25,O[C@H]1COC[C@H]2O[C@H](CC(=O)NCc3cccc(F)c3)CC[C@@H]2N(C1)C(=O)c1ccncc1,0.06,Nc1nc2ccc(OC(F)(F)F)cc2s1,0.44,CC(NC(=O)CC1CCC2C(COc3ccc(NC(=O)c4ccccc4F)cc3C(=O)N2C)O1)c1ccccc1,0.06,CCN(CC)c1ccccc1C(=O)NCCCNCCCNC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCNC(=O)CCCSC1CCCCC1
376,CN1[C@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.21,OC[C@H]1O[C@@H](CC(=O)NCc2ccc(Oc3ccccc3)cc2)C[C@@H]4[C@H]1Oc5ccc(NC(=O)c6ccc7OCOc7c6)cc45,0.18,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O,0.28,CCCNC(=O)CC1CCC2C(COCC(O)CN2C(=O)c2ccc(F)cc2)O1,0.15,CC1CCCN(C(=O)CC2CC3c4cc(N(C)C)ccc4OC3C(CO)O2)C1
378,CN1[C@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,0.15,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccncc2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,0.09,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,0.26,CCCCNC(=O)CC1CC2c3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3OC2C(CO)O1,0.12,CC(F)NCCCN1CCN(C)CC1
379,CN1[C@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.17,COC(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@H](O)CN2CCC(F)(F)F)O1,0.21,COc1ccccc1CNC(=O)C[C@@H]2C[C@@H]3[C@@H](Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc34)[C@H](CO)O2,0.46,CCNC(=O)Nc1ccc2c(c1)C(=O)N(C)C1CCC(CC(=O)NCC(F)(F)F)OC1CO2,0.03,NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O
380,CN1[C@H]2CC[C@H](CC(=O)NCc3ccc4OCOc4c3)O[C@H]2COc2ccc(NC(=O)C3CCOCC3)cc2C1=O,0.16,CCCNC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4F)c3=O)[C@@H]2N1CC1CC1,0.16,CCCNC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4F)c3=O)[C@@H]2N1CC1CC1,0.25,CCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccc1)C(C)CO2,0.23,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)C2CC(CC(=O)NCc4ccc(Cl)cc4)OC(CO)C2O3)c1
383,CN1[C@H]2Cn3c(ccc(-c4cccc(F)c4)c3=O)[C@@H]1[C@@H]([C@H]2CO)C(=O)Nc1nccs1,0.17,COc1ccc(NC(=O)Nc2cccc3C(=O)N(C[C@@H](C)[C@@H](CN(C)Cc4ccc5OCOc5c4)Oc23)[C@@H](C)CO)cc1,0.12,CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1,0.23,COc1ccc(-c2ccc(C3C(C#N)N(C(=O)c4cccc(F)c4)C3CO)cc2)cc1,0.18,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)C3CCCCC3)c2OC1CN(C)Cc1ccc(C(=O)O)cc1
384,CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C,0.09,CC(C)(C)c1cc(C=C(C#N)[N+]#[C-])cc(c1O)C(C)(C)C,0.12,CC(C)(C)c1ccc2OCC(Oc2c1)C(=O)NN=Cc1ccc[nH]1,0.19,CN(C)C(=O)c1ccc(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.09,OCCN1CCN(c2ccc(Cl)cc2)CC1
389,CNCC(O)c1ccc(O)c(OC)c1,0.07,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.07,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.11,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NS(C)(=O)=O)ccc2OCC1C,0.09,COc1ccccc1C#Cc1cncc2c1C(CN(C)CC1CCOCC1)N(C(C)CO)c1c(NC(=O)c3ccncc3)cccc1C(CO)O2
390,CNCC(O)c1ccc(O)cc1,0.09,CN1CCN2C(C1)c1ccccc1Cc1cccnc21,0.08,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.11,CC(C)(C)c1ccc(C(=O)OCCCCCCCC(=O)Nc2ccc(C(=O)O)cc2)cc1,0.09,Cc1cccc(SCC#CCN2CCOCC2)n1
392,CNCCCN1c2ccccc2CCc2ccccc12,0.06,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,0.17,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.19,CCCCCC(O)COc1ccc(C(=O)c2ccccc2)cc1,0.16,CCOc1ccccc1-c1cnn2c(Nc3cccc(Cl)c3)c(C(=O)NCCC(C)C)cnc12
394,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSc1ccccc1,0.11,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.12,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,0.17,CCCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccc1F)C(C)CO2,0.09,Clc1cccc(Cl)c1
398,COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.24,OC[C@H]1O[C@H](CC(=O)NCc2ccc(Cl)c(Cl)c2)C=C[C@H]1NS(=O)(=O)c1ccccc1,0.14,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.17,CC1CCCCOC(CN(C)S(=O)(=O)c2ccccc2C#N)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0.12,CN(C)CCCC(=O)Nc1ccc2c(c1)C(CN(C)Cc1cccc(C(F)(F)F)c1)OCCC(=O)C(=O)C(CN(C)CC1CC1)OC(CN(C)C)CCN2
399,COC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.26,COc1cccc(c1)S(=O)(=O)Nc2ccc3O[C@H]4[C@H](C[C@@H](CC(=O)NCc5ccccc5F)O[C@@H]4CO)c3c2,0.12,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.43,CCNC(=O)CC1CCC(NC(=O)c2ccccc2F)C(CO)O1,0.11,CC(C)(C)NC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(O)CN(CC(O)C(C)(C)C)C(C)(C)C)c1C(=O)NC(C)(C)C
401,COC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.13,COc1ccccc1-c1cc2nc(cc(N3CCN(CC3)C(=O)c3ccco3)n2n1)-c1ccccc1,0.09,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.3,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(Cc1ccccn1)C(C)CO2,0.16,Cc1c(C)c(C)c(S(=O)(=O)Nc2cccc3c2C(C)N(C(C)CO)C(C)CC(=O)OCC(C)CCCO3)c([N+](=O)[O-])c1C
402,COC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.16,COc1ccc(C#Cc2ccc3c(O[C@H](CN(C)C(=O)CN4CCOCC4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2)cc1,0.13,CCC1(C(=O)NCNC1=O)c1ccccc1,0.35,COC1CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(C)cc3)ccc2OCC(C)NCC1C,0.03,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCNc1ccccc1
404,COC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.41,CN1[C@@H]2CC[C@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.11,C[C@@H]1CN(CC[C@]1(C(O)=O)c1ccccc1)[C@H]1CC[C@](CC1)(C#N)c1ccc(F)cc1,0.31,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(Cc2ccccc2F)CC1C,0.1,Cc1cc(C(=O)NCCCCCNCC(O)c2c(O)c(O)c(O)c(O)c2CO)c(C)c(C(=O)O)c1NC(=O)CCCCCN(C)C
405,COC(=O)C[C@@H]1CC[C@@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.22,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.14,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C=O,0.27,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccc(F)cc1)C(C)CO2,0.12,O=C(NCCCN1CCOCC1)C1C(CO)C2Cn3c(ccc(C4=CCCC4)c3=O)C1N2CC1CCCCC1
406,COC(=O)C[C@@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.18,OC[C@H]1O[C@@H](CC(=O)NCc2cc(F)ccc2F)C[C@@H]3[C@H]1Oc4ccc(NC(=O)c5cccnc5)cc34,0.13,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,0.36,Cc1ccc(CNC(=O)CC2CCC(NC(=O)c3ccccc3F)C(CO)O2)cc1,0.15,CCC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)COC)ccc2OCC1C
407,COC(=O)C[C@@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.14,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccc(c2)C(=O)O)OCc3ccccc3-c4ccccc4C1=O,0.1,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,0.3,CC(NC(=O)CC1CCC(NC(=O)Nc2ccc(C(F)(F)F)cc2)C(CO)O1)c1ccccc1,0.07,Cc1c(C)c(C)c(NC(=O)CCN)c(C)c1C
409,COC(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.45,CN1[C@H]2CC[C@@H](CC(=O)NCC3CCCCC3)O[C@H]2COc2ccc(NC(=O)c3cccc(F)c3)cc2C1=O,0.04,CCCC(CCC)C(O)=O,0.31,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(Cc1ccc(F)cc1)C(C)CO2,0.12,Cc1c(C)c(O)c(C)c(NC(=O)c2ccc(O)c(C(O)CN)c2O)c1C
410,COC(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.4,CN1[C@@H]2CC[C@@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.09,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,0.3,CCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(Cc1ccccc1F)C(C)CO2,0.25,CCCNC(=O)CC1CCC2c3cccc(NS(=O)(=O)c4ccccc4F)c3OC2(CO)O1
412,COC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.41,CN1[C@@H]2CC[C@@H](CC(=O)N[C@H]3CCN(Cc4ccccc4)C3)O[C@H]2COc2ccc(NC(=O)c3ccc(F)c(F)c3)cc2C1=O,0.15,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2F)Oc3ncc(cc3C1=O)C4=CCCC4,0.31,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(Cc2ccccn2)CC1C,0.19,COc1ccc(CNC(=O)CC2CCC(NC(=O)c3ccccc3F)C(CO)O2)cc1
413,COC(=O)C[C@@H]1CC[C@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.27,C[C@@H](NC(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2C(=O)Nc2cccc(Cl)c2)O1)c1ccccc1,0.12,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.35,CN1C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OCC2OC(CC(=O)NCCCN3CCCCC3)CCC21,0.19,COC1CN(C)C(CN(C)C)CCOc2cccc(NC(=O)c3cc(C)on3)c2NC(C)C1=O
421,COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.2,CCCNC(=O)N[C@@H]1C=C[C@@H](CC(=O)NCCc2ccccc2)O[C@H]1CO,0.15,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.47,CCNC(=O)CC1CCC(NS(=O)(=O)c2ccc(F)cc2)C(CO)O1,0.17,CCN1Cc2cc(NC(=O)CCCN(C)C)ccc2OC2CCC(CC(=O)N3CCc4ccccc4C3)OC2C1=O
422,COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.15,CCCC(=O)Nc1ccc2c(OC[C@H](C)N(C[C@@H](C)[C@H](CN(C)C2=O)OC)C(=O)c2cccnc2)c1,0.16,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(O)=O)C1=O,0.33,CNCCCNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccccc4F)ccc3OC2C(CO)O1,0.13,COc1cccc(-c2nc(O)c(S(=O)(=O)c3ccsc3C)c(=O)n2CCCCCCCCC(=O)NCCc2ccccc2)c1
424,COC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.13,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccn2)Oc3ncc(C#CC4(O)CCCC4)cc3C1=O,0.04,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.28,COC1CN(C)C(=O)c2cc(NC(=O)c3ccc4c(c3)OCO4)ccc2OCC(C)N(CCC(F)(F)F)CC1C,0.21,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)C2CC(CO)OC(CC(=O)N4CCN(C)CC4)C2O3)cc1OC
425,COC(=O)C[C@H]1CC[C@@H]2[C@@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.18,OC[C@@H]1O[C@H](CC(=O)NCCN2CCCCC2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)c5ccc6OCOc6c5)cc34,0.17,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2F)Oc3ncc(cc3C1=O)C4=CCCC4,0.27,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)NC(C)C)OCCCCC(C)O3)cc1,0.14,COc1ccc(C(=O)NCCC2C=CC(NC(=O)Cc3ccncc3)C(CO)O2)cc1
427,COC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.13,C/C=C/c1ccc2c(O[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.09,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.3,CCC(C)C(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2,0.14,CN(C)CCCC(=O)Nc1ccc(C(=O)c2ccco2)cc1
428,COC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.17,COc1cccc(NC(=O)N2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(cc2)-c2ccncc2)c1,0.12,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.26,Cc1ccc(CNC(=O)CC2CCC3C(COCC(O)CN3C(=O)c3ccccc3F)O2)cc1,0.23,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3F)ccc2O1
429,COC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,0.3,OC[C@H]1O[C@@H](CCNC(=O)C2CCCCC2)CC[C@@H]1NC(=O)Nc1ccccc1F,0.1,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.72,CCCNC(=O)CC1CCC(NS(=O)(=O)c2ccccc2F)C(CO)O1,0.01,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[SH](=O)=O
430,COC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccccc2F)[C@H](CO)O1,0.12,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4,0.17,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,0.23,COc1ccccc1NC(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCC3CC3)OC(CO)C1O2,0.16,COC1CN(C)CC(=O)COc2cccc(NS(C)(=O)=O)c2N(C)C(C)C1C
432,COC(=O)C[C@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.27,COC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)NC4CCCC4)cc23)[C@H](CO)O1,0.15,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.32,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(C(=O)c2ccccc2)CC1C,0.03,CNCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C
434,COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NC(=O)Nc4cc(C)cc(C)c4)cc3C(=O)N2C)O1,0.15,COc1ccc(CNC(=O)N(C)C[C@H]2OCc3ccccc3-c4c(C(=O)N(C[C@@H]2C)[C@H](C)CO)n(C)c5ccccc45)cc1,0.11,C[C@@H]1CN(CC[C@]1(C(O)=O)c1ccccc1)[C@H]1CC[C@](CC1)(C#N)c1ccc(F)cc1,0.23,CCCN1CC(C)C(OC)CN(C)C(=O)c2ccc(NC(=O)c3ccc(OC)cc3)cc2OCC1C,0.15,CC=CCCC(=O)N(C)CC1OCC(C)CC(=O)C(=O)OCC(C)CN(C(C)CO)c2cccc(NC(=O)CCC(F)(F)F)c21
435,COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,0.24,COc1ccccc1NC(=O)N1C[C@H](O)COC[C@H]2O[C@H](CC(=O)N3CCC(Cc4ccccc4)CC3)CC[C@H]12,0.12,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.29,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccc1)C(C)CO2,0.2,COc1cc(C(C)C)c(OC)c(CNC(=O)CC2CCC3c4cccc(NS(=O)(=O)c5cccc(F)c5)c4OC3(CO)O2)c1OC
442,COC(=O)Cn1nc(-c2cccc(OC)c2)c2ccccc12,0.13,Oc1cc2CC[C@H]3NCc4ccccc4[C@@H]3c2cc1O,0.14,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.2,COc1ccc(C(=O)Nc2ccc3oc4ccc(Cl)cc4c3c2)cc1,0.17,O=C(CCCCCC(=O)Nc1cc(O)cc(O)c1)NCCCC(=O)Oc1ccccc1
443,COC(=O)Nc1ccc(cc1)-c1nc(N2CCOCC2)c2cnn(C3CCN(CC3)C(=O)OC)c2n1,0.16,COc1cccc2cc([nH]c12)-c1nc([C@@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12,0.16,COc1cccc2cc([nH]c12)-c1nc([C@@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12,0.19,COc1ccc(CNc2ncnc3ccc(C(=O)NCCCN4CCOCC4)cc23)cc1,0.03,O=C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOc1ccccc1)NCCO
445,COC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4OC)c3=O)[C@H]1N2Cc1ccccc1,0.15,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C)Oc2cc(C#Cc3ccccn3)ccc2S1(=O)=O,0.2,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,0.24,COc1ccc(CN(C)CC2OCc3ccccc3-c3c(n(C)c4ccccc34)C(=O)N(C(C)CO)CC2C)cc1,0.09,CCN1CCN(CCCn2cc(-c3cc(F)ccc3C(F)(F)F)nn2)CC1
447,COC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(C4=CCCCC4)c3=O)[C@@H]2N1Cc1ccc2OCOc2c1,0.35,COC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4)c3=O)[C@@H]2N1C(=O)CC1CC1,0.08,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.19,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccc(F)cc1)C(C)CO2,0.1,CN(C)C(C(=O)c1ccc(Cl)cc1)c1ccccc1
449,COC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(-c4ccccc4OC)c3=O)[C@@H]1N2Cc1ccccc1,0.18,C(CN1CCN(CC=Cc2ccccc2)CC1)OC(c1ccccc1)c1ccccc1,0.19,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O,0.36,CCCNC(=O)C1C(CO)C2c3ccc(-c4ccccc4)c(=O)n3CC1N2C(C)C,0.15,CCCNC(=O)CC1CC(c2ccccc2C#N)C(CO)C(NC(=O)CCCN(C)C)O1
451,COC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(C4=CCCCC4)c3=O)[C@H]2N1Cc1ccc2OCOc2c1,0.08,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,0.1,C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O,0.19,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,0.08,CCOC(=O)COc1c(C)c(C)c(C)c(C)c1C
455,COCC#Cc1ccc(cc1)[C@@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)Cc1ccccc1,0.25,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)O)Oc3ncc(C#CCc4ccccc4)cc3C1=O,0.12,Clc1ccccc1CN1CCc2sccc2C1,0.18,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)Cc1cccnc1,0.16,COC1CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OCC(C)N(C(=O)Cc2cccnc2)CC1C
456,COCC#Cc1ccc(cc1)[C@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)Cc1ccccc1,0.1,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,0.1,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.22,CCOc1ccccc1C(=O)NCCC(CSCc1ccccc1)c1ccccc1,0.09,CCC(=O)N1CC(C)COC(C)CCCC(CN(C)C(=O)CCC(F)(F)F)Oc2c(NC(=O)CCC(F)(F)F)cccc2C1=O
457,COCC#Cc1ccc(cc1)[C@H]1[C@H](CO)N([C@H]1C#N)C(=O)Cc1ccccc1,0.48,CN(C)CC(=O)N1[C@H](CO)[C@@H]([C@H]1C#N)c1ccc(cc1)C#Cc1cccnc1,0.18,Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1,0.17,CCCNC(=O)c1ccccc1NC(=O)c1ccccc1C(C)(C)C,0.13,CNCC(=O)Nc1ccc2c(c1)CN(C(=O)CC1CC1)CCC(NC(=O)CC1CC1)C(C)N(C(C)CO)C(CN(C)Cc1cccc(C(F)(F)F)c1)C(C)O2
